%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1406123639824970960,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639835002899,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639845957040,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639855097055,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639864783048,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639875078916,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639885418891,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639894859075,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639904871940,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639914807081,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639924520015,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639934597969,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639944494962,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639954454898,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639964879035,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639975044965,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639984764099,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123639994765043,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640004899024,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640014667034,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640024981021,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640034723043,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640045063972,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640055088996,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640064589977,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640075067996,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640084903955,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640094799041,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640104887962,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640115072965,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640125117063,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640134531974,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640144510984,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640154529094,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640164668083,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640174721956,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640184561014,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640194803953,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640205074071,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640214931964,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640225056886,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640235073089,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640245039939,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640254865884,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640264756917,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640275079965,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640284965038,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640295080900,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640304701089,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640314774990,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640324991941,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640334490060,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640344494104,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640354464054,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640364706993,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640374836921,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640384638071,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640395088911,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640405009984,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640414659976,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640425031900,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640434655904,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640445105075,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640454461097,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640464828014,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640475002050,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640484756946,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640494856119,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640504909992,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640514754056,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640524626016,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640534638881,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123640544488906,0.0,0.0,0.0,1.0,1.0,19.7205200573
